lp,system,doc_id,seg_id,heldout_rater,source,target,semantic_feature,boundary_feature,heldout_semantic,heldout_boundary,heldout_total,heldout_categories
en-de,Online-B.1590,6,636,rater6,"You have stolen my dreams and my childhood with your empty words,"""" she said on Tuesday. """"The eyes of all future generations are upon you and if you choose to fail us, I say we will never forgive you.""""","""DuDu hast meine Träume und meine Kindheit mit deinen leeren Worten gestohlen"", sagte sie am Dienstag. ""Die Augen aller zukünftigen Generationen sind auf dichdich gerichtet und wenn dudu dichdich entscheidest, uns zu scheitern, sage ich, wir werden dirdir niemals vergeben.""",0.0,2.3000000000000003,0.0,25.0,25.0,"{""Fluency/Grammar"": 5}"
zh-en,DeepMind.381,4,259,rater6,马华总会长拿督斯里魏家祥表示，马华中委会原定于今年11月2日及3日召开中央代表大会，但由于丹绒比艾国会议席的补选，因此大会的日期可能会有所变动。,"MCA President Dato' Seri Wei Jiaxiang said that the MCA Central Committee was originally scheduled to hold the Central Congress on November 2 and 3 this year, but due to the by-election of Tanjung Biai's parliamentary seat, the date of the Congress may change.",0.0,3.5,0.0,21.0,21.0,"{""Locale convention/Name format"": 5}"
zh-en,Online-B.1605,12,1623,rater6,在纳法被捕之前，曾担任埃及前军方参谋总长安楠发言人的霍斯尼遭到羁押。,"Before Nafa was arrested, Hosni, who was a spokesman for Annan, the former chief of the military staffstaff, was detained.",0.0,15.0,0.0,20.0,20.0,"{""Locale convention/Name format"": 4}"
en-de,Tohoku-AIP-NTT.890,6,636,rater6,"You have stolen my dreams and my childhood with your empty words,"""" she said on Tuesday. """"The eyes of all future generations are upon you and if you choose to fail us, I say we will never forgive you.""""","„DuDu hast meine Träume und meine Kindheit mit deinen leeren Worten gestohlen“, sagte sie am Dienstag. „Die Augen aller zukünftigen Generationen sind auf dichdich gerichtet, und wenn du dichdich entscheidest, uns im Stich zu lassen, sage ich, dass wir dirdir niemals vergeben werden.“",0.0,5.0,0.0,17.0,17.0,"{""Fluency/Grammar"": 3, ""Fluency/Register"": 2}"
zh-en,DiDi_NLP.401,16,1936,rater5,主竞赛单元的国际评委阵容由5人组成，评审团主席为中国的章子怡，其他4人分别是美国制片人比尔·格伯、法国演员兼制片人朱莉·加耶、丹麦导演迈克尔·诺尔、日本导演广木隆一。,"The international jury lineup of the main competition unit is composed of 5 people. The chairman of the jury is Zhang Ziyi of China. The other 4 people are American producer Bill Gerber, French actor and producer Julie Gaya, Danish director Michael Noel, and Japanese director Takahiro Hiroki.",0.0,9.0,5.0,16.0,21.0,"{""Accuracy/Mistranslation"": 1, ""Locale convention/Name format"": 3, ""Style/Awkward"": 1}"
zh-en,Human-B.0,3,763,rater2,其中原本代表拿督华裔被告黎振华（译音）的辩护律师，也是日落洞区国会议员雷尔，向法官申请退出代表此案审讯，即不再成为该名被告的代表律师，当庭获得批准。,"The defense lawyer Rayer, a member of parliament for Jelutong and representing the Dato Class defendant Li Zhenhua (transliteration), appealed to the judge to withdraw from the trial and cease to be the defense lawyer of Li. The appeal was approved in court.",0.0,6.0,0.0,16.0,16.0,"{""Fluency/Spelling"": 1, ""Locale convention/Name format"": 2, ""Terminology/Inappropriate for context"": 1}"
zh-en,Human-A.0,12,1623,rater5,在纳法被捕之前，曾担任埃及前军方参谋总长安楠发言人的霍斯尼遭到羁押。,"Prior to Nafah' s arrest, Hosni, a former spokesman for Egypt's former Military Chief of Staff, Annan, was detained.",0.0,16.0,5.0,15.1,20.1,"{""Accuracy/Mistranslation"": 1, ""Fluency/Punctuation"": 1, ""Locale convention/Name format"": 3}"
zh-en,Human-B.0,14,1934,rater1,在记者会上，今年8月刚刚上任的东京国际电影节主席安藤裕康、电影节Director久松猛朗，以及各单元选片负责人，先后登台致辞，介绍了电影节宗旨及各上映影片等。,"At the press conference, Anteng Yukang who was just appointed to the chairman of Tokyo International Film Festival on August this year, and director of the Film Festival Jiusong Menglang, as well as the head from all units of film selection, made their speech on the stage successively, introducing the purposes of the Film Festival and related films.",0.0,6.0,0.0,15.1,15.1,"{""Fluency/Punctuation"": 1, ""Locale convention/Name format"": 2, ""Style/Awkward"": 1}"
zh-en,Online-B.1605,2,826,rater5,用来评估和排名各城市面对AI浪潮准备水平的4条标准包括前景、实现能力，资产基础和发展方向。,"The four criteria used to assess and rank the readiness of cities to face the AI ​​wave include prospects, ability to realize, asset base and development direction.",0.0,2.55,0.0,15.1,15.1,"{""Fluency/Punctuation"": 1, ""Terminology/Inappropriate for context"": 3}"
zh-en,THUNLP.1498,2,341,rater5,新华社合肥9月27日电 日前，国家知识产权运营公共服务平台在安徽合肥发布了《全球制造业创新指数白皮书 》 。,"Xinhua News Agency HefeiXinhua News Agency Hefei on September 27, the National Intellectual Property Operations Public Service Platform released the ""White Paper on Global Manufacturing Innovation Index"" in Hefei, Anhui Province.",0.0,1.3000000000000003,0.0,15.1,15.1,"{""Fluency/Grammar"": 1, ""Fluency/Punctuation"": 1, ""Style/Awkward"": 1, ""Terminology/Inappropriate for context"": 1}"
